year,week,player,touchdowns,passing_yds
2015,1,Jameis Winston,2,210
2015,1,Marcus Mariota,4,209
2015,2,Marcus Mariota,2,257
2015,2,Jameis Winston,1,207
2015,3,Jameis Winston,1,261
2015,3,Marcus Mariota,2,367
2015,4,Jameis Winston,2,287
2015,5,Jameis Winston,1,209
2015,5,Marcus Mariota,0,187
2015,6,Marcus Mariota,1,219
2015,7,Jameis Winston,2,297
2015,8,Jameis Winston,1,177
2015,9,Marcus Mariota,4,371
2015,9,Jameis Winston,0,249
2015,10,Jameis Winston,0,264
2015,10,Marcus Mariota,0,185
2015,11,Marcus Mariota,0,231
2015,11,Jameis Winston,5,246
2015,12,Jameis Winston,1,245
2015,12,Marcus Mariota,3,218
2015,13,Marcus Mariota,3,268
2015,13,Jameis Winston,1,227
2015,14,Marcus Mariota,0,274
2015,14,Jameis Winston,1,182
2015,15,Jameis Winston,2,363
2015,15,Marcus Mariota,0,32
2015,16,Jameis Winston,2,295
