"n_noise_vars","method","AUC"
0,"rf",0.915226704382405
0,"gbm",0.888958922641741
0,"nn",0.839881489225051
0,"glm",0.817927615846076
100,"gbm",0.866193682613865
100,"rf",0.837614787029066
100,"nn",0.745817618442449
100,"glm",0.805411217699067
200,"gbm",0.858248267945722
200,"rf",0.815233878571721
200,"nn",0.731003771573812
200,"glm",0.795828550540456
300,"gbm",0.862798753740827
300,"rf",0.818078786263819
300,"nn",0.735080248431927
300,"glm",0.813422395769278
400,"gbm",0.852718163680837
400,"rf",0.791217425764222
400,"nn",0.715636487243608
400,"glm",0.813746088358682
500,"gbm",0.851139842031184
500,"rf",0.764555063611145
500,"nn",0.736830238183085
500,"glm",0.813799894778557
600,"gbm",0.850663270883723
600,"rf",0.79470117793356
600,"nn",0.722672317194824
600,"glm",0.813852847128274
700,"gbm",0.855545135899643
700,"rf",0.786964156383662
700,"nn",0.706334809166564
700,"glm",0.813810143620437
800,"gbm",0.854115422457262
800,"rf",0.750794285245767
800,"nn",0.68537848973066
800,"glm",0.814149209472663
900,"gbm",0.85014826657921
900,"rf",0.779312541849438
900,"nn",0.706866894874213
900,"glm",0.814585639322756
1000,"gbm",0.848701471733694
1000,"rf",0.792558315910302
1000,"nn",0.671768027712868
1000,"glm",0.813699114500061
1100,"gbm",0.847062511102912
1100,"rf",0.780871219885486
1100,"nn",0.656056553109499
1100,"glm",0.814038180352287
1200,"gbm",0.852210846007734
1200,"rf",0.772378346246874
1200,"nn",0.681423290834802
1200,"glm",0.813001339182006
1300,"gbm",0.850900702387297
1300,"rf",0.775035358504489
1300,"nn",0.648122241353394
1300,"glm",0.813774272673854
1400,"gbm",0.854191434701212
1400,"rf",0.770806857158474
1400,"nn",0.664327368507359
1400,"glm",0.814516459640061
1500,"gbm",0.848428169283538
1500,"rf",0.767231719482365
1500,"nn",0.658366812883477
1500,"glm",0.812452172071223
1600,"gbm",0.857885288129108
1600,"rf",0.760347059948892
1600,"nn",0.638809460364312
1600,"glm",0.813119200863636
1700,"gbm",0.849898024023285
1700,"rf",0.759516903756542
1700,"nn",0.631827436832971
1700,"glm",0.8139194646005
1800,"gbm",0.850117520053567
1800,"rf",0.738175398679949
1800,"nn",0.665464135885978
1800,"glm",0.814086008281064
1900,"gbm",0.846064103089684
1900,"rf",0.767295774744121
1900,"nn",0.66245439265363
1900,"glm",0.813587231309529
2000,"gbm",0.842302778119406
2000,"rf",0.754206295521939
2000,"nn",0.654447484934202
2000,"glm",0.811802224681944
